solver,num_measurements,seed,misfit,pde_err,reg,boundary,rmse,directional_rmse,angular_rmse_deg,config_id,config_label
linear_least_squares,10,0,10.0,0.1,0.01,1000.0,0.1739790042000115,0.6567214073372174,44.975565376164674,36,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,10.0,1.0,1e-06,10.0,0.18584000435328246,1.4199363593189738,115.69386267968859,37,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,10.0,1.0,1e-06,100.0,0.18573738019961122,1.4242454877225685,115.84251688104113,38,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,10.0,1.0,1e-06,1000.0,0.18563922952743267,1.4194222728309753,114.80199333730918,39,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,10.0,1.0,0.0001,10.0,0.17676444370873465,0.9657424753748268,73.19380592094261,40,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+01"
linear_least_squares,10,0,10.0,1.0,0.0001,100.0,0.17674120037731103,0.9650703989319942,73.11297443570979,41,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+02"
linear_least_squares,10,0,10.0,1.0,0.0001,1000.0,0.17664058180001346,0.9617397593456768,72.96346270928552,42,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+03"
linear_least_squares,10,0,10.0,1.0,0.01,10.0,0.17330934742452295,0.6597558210976915,44.85360613075317,43,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+01"
linear_least_squares,10,0,10.0,1.0,0.01,100.0,0.17380877510818496,0.6594453407706153,44.823481690663385,44,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+02"
linear_least_squares,10,0,10.0,1.0,0.01,1000.0,0.17386337020617923,0.6595960380601646,44.83456064570151,45,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,10.0,10.0,1e-06,10.0,0.19251715633360367,1.394861271678099,111.60334485721243,46,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,10.0,10.0,1e-06,100.0,0.1924702022287181,1.3920757567326534,111.5202168417535,47,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,10.0,10.0,1e-06,1000.0,0.19238004521116012,1.3890886037294603,111.12327712600889,48,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,10.0,10.0,0.0001,10.0,0.1760935025866325,1.061393576591384,81.2961540056486,49,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+01"
